
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
D0_4                 :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0_4           Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0_4           Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0b_4                :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0b_4          Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0b_4          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0_#pi0              :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0_#pi0        Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D0_#pi0        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D+                   :      0.004  /     -1.000  /      0.167  /      0.000  /      0.000  /          0  /          0  /          3  /          0  |        765  |          0  |         18
D+             Prim  :      0.004  /     -1.000  /      0.167  /      0.000  /      0.000  /          0  /          0  /          3  /          0  |        765  |          0  |         18
D+             Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D-                   :      0.008  /     -1.000  /      0.207  /      0.000  /      0.000  /          0  /          0  /          6  /          0  |        765  |          0  |         29
D-             Prim  :      0.008  /     -1.000  /      0.207  /      0.000  /      0.000  /          0  /          0  /          6  /          0  |        765  |          0  |         29
D-             Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Ds+                  :      0.001  /     -1.000  /      0.091  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        829  |          0  |         11
Ds+            Prim  :      0.001  /     -1.000  /      0.091  /      0.000  /      0.000  /          0  /          0  /          1  /          0  |        829  |          0  |         11
Ds+            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
